name,alias(es),birthdate,deathdate,id 
"Smith, William Benjamin",[],1850,1934,15573
"Heiberg, J. L. (Johan Ludvig)","['Heiberg, Johan Ludvig']",1791,1860,15574
"MacQuarrie, Hector",[],,,15575
"Goodrich, Albert M.",[],,,15576
"Gilbert, John C.",[],,,15577
"Schottenfels, Gertrude R.","['Schottenfels, Gertrude Ruth']",,,15578
"Poel, William","['Pole, William']",1852,1934,15579
"Papantoniou, Zacharias L.","['Papantoniou, Z. L. (Zacharias L.)', 'Παπαντωνίου, Ζαχαρίας']",1877,1940,15580
"Hoffmeister, Donald Frederick",[],1916,,15581
"Setzer, Henry W.",[],,,15582
"Gallishaw, John",[],1890,,15583
"Phillips, Chester Arthur","['Phillips, C. A. (Chester Arthur)']",1882,1976,15584
"Jones, Robert H.",[],,,15585
"Hartley, Florence",[],,,15586
"Štáfl, Ot. (Otakar)","['Stafl, Otakar', 'Štáfl, O. (Otakar)', 'Štáfl, Otakar']",1884,1945,15587
"Tille, Václav","['Tille, Vaclav']",1867,1937,15588
"Baldaque da Silva, Antonio Arthur","['Da Silva, Antonio Artur Baldaque', 'Silva, Antonio Artur Baldaque da']",1852,,15589
"Ingraham, J. H. (Joseph Holt)","['Ingraham, Joseph Holt']",1809,1860,15590
"Paravey, Charles Hippolyte, chevalier de","['De Paravey, Charles Hippolyte, chevalier']",1787,1871,15591
"Godwin, H. G.",[],,,15592
"White, C. Scott (Clarence Scott)","['White, Clarence Scott', 'White, Scott']",1872,1965,15593
"Warner, Frances Lester","['Hersey, Frances', 'Lester Warner, Frances']",1888,,15594
"Lowe, Orton",[],1873,,15595
"Brown, Helen Keer",[],,,15596
"Nadaud, Marcel",[],1889,,15597
"Manzoni, Alessandro",[],1785,1873,15598
"Madden, R. J.",[],,,15599
"Edwards, George",[],1850,1933,15600
"MacLehose, Sophia H.",[],,1912,15601
"Herbert, A. P. (Alan Patrick)","['Herbert, Alan Patrick, Sir']",1890,1971,15602
"Johnes, Arthur James",[],1809,1871,15603
"Miller, Frank Justus",[],1858,1938,15604
"Wireman, Eugenie M.",[],1875,1934,15605
"Thorer, Konrad",[],,,15606
"Doran, Dr. (John)","['Doran, John']",1807,1878,15607
"Scoresby, William",[],1789,1857,15608
"Woodward, F. L. (Frank Lee)","['Woodward, Frank Lee']",1870,1952,15609
"Thayer, Lee","['Thayer, E. R. Lee (Emma Redington Lee)', 'Thayer, Emma Redington Lee']",1874,1973,15610
"Fowler, Charles Henry","['Fowler, C. H. (Charles Henry)', 'Fowler, Charles H.']",1837,1908,15611
"Adam, E. (Erich)","['Adam, Erich']",,,15612
"Middleton, Thomas C. (Thomas Cooke)","['Middleton, Thomas Cooke']",1842,1923,15613
"Simmel, Georg","['Simmel, G. (Georg)']",1858,1918,15614
"Somerton, Alice",[],,,15615
"Lavisse, Ernest","['Lavis, Ernest', 'Lavisse, E. (Ernest)']",1842,1922,15616
"Funcke, Otto","['Funcke, O. (Otto)']",1836,1910,15617
"Price-Brown, John","['Brown, John Price']",1844,1938,15618
"Brigden, Frederick Henry","['Brigden, Fred H.']",1871,1956,15619
"Kent, Elizabeth",[],1875,1947,15620
"De Lay, H. S.","['DeLay, H. S.', 'Lay, H. S. de']",,,15621
"Atterbury, Anson Phelps","['Atterbury, Anson P.']",1854,1931,15622
"Sombart, Werner",[],1863,1941,15623
"Laurie, Marjorie","['Thirkell, Marjorie']",,,15624
Peer,[],,,15625
"Dercksen, Jacobus Marinus Everhardus","['Dercksen, J. M. E.']",1825,1884,15626
"Herr, George L. (George Lewis)",[],,,15627
"Scadding, Henry",[],1813,1901,15628
"Maisch, Richard",[],1860,,15629
"Pohlhammer, Franz",[],,,15630
"Lenin, Vladimir Il'ich","['Lenin, Vladimir Ilyich', 'Ленин, Владимир Ильич']",1870,1924,15631
"Bartlett, John Russell","['Bartlett, John R. (John Russell)']",1805,1886,15632
"Bangs, Outram",[],1862,1932,15633
"Ziegler, Francis J. (Francis Joseph)",[],1866,,15634
"Martin, H. B.",[],,,15635
"Pollock, Horatio M. (Horatio Milo)","['Pollock, H. M. (Horatio Milo)']",1868,1950,15636
"Badlam, Anna B.",[],,,15637
"Dunton, Larkin",[],1828,1899,15638
"Rugeley-Powers, Susan","['Powers, Susan Rugeley']",,,15639
"Plesner, Augusta",[],,,15640
"Shiukichi, Shigemi",[],1865,1928,15641
"Penning, L. (Louwrens)","['Penning, Lawrence', 'Penning, Louwrens']",1854,1927,15642
"Steelink, Wilm. (Willem)","['Steelink, Willem']",1856,1928,15643
"MacNeal, Ward J.","['MacNeal, W. J. (Ward J.)']",,,15644
"Salignac, Bertrand de, seigneur de La Mothe-Fénelon, active 16th century","['Fenelon, Bertrand de Salignac, seigneur de la Mothe', 'Fénelon, Bertrand de Salignac de La Mothe', 'Fénelon, Bertrand de Salignac, seigneur de la Mothe', 'Fénélon, Bertrand de Salignac de la Mothe', 'Fénélon, Bertrand de Salignac de la Motte', 'La Mothe-Fénelon, Bertrand de Salignac, seigneur de']",,,15645
"Bass, William Wallace",[],1848,1933,15646
"White, James",[],1837,1927,15647
"Hawkins, William W.",[],,1919,15648
"Wehle, Harry B. (Harry Brandeis)",[],1887,1969,15649
"Breck, Joseph",[],1885,1933,15650
"Towns, Charles Barnes","['Towns, Charles B.']",1862,,15651
"Hoe, Robert",[],1839,1909,15652
"Shipman, Carolyn",[],,,15653
"Beeks, James C.",[],,,15654
"Danks, William",[],1845,1916,15655
"Ness, Bertha",[],,,15656
"Seligman, Georges",[],,,15657
"Castillo, John",[],1792,1845,15658
"Nash, Wallis",[],,,15659
"Peabody, Robert Swain",[],1845,1917,15660
"Lassinen, Emil",[],1861,1938,15661
"Hardy, Dudley",[],1867,1922,15662
"Opie, Amelia","['Alderson, Amelia', 'Opie, Amelia Alderson']",1769,1853,15663
"Mahaffy, J. P. (John Pentland)","['Mahaffy, John Pentland']",1839,1919,15664
"Hughes, James L. (James Laughlin)","['Hughes, James Laughlin']",1846,1935,15665
"Leśmian, Bolesław","['Leshmiyan, Boleslav', 'Lesman, B. (Bolesław)', 'Lesmian, Boleslaw Stanislaw', 'Leśmian, Bolesław Stanisław']",1877,1937,15666
"Ward, Mrs.","['Ward, Harriet']",1808,1873,15667
"Parrott, Edward","['Parrott, James Edward']",1863,1921,15668
"Bethusy-Huc, Valeska, Gräfin von","['Bethusy-Huc, Valeska (von Reiswitz-Kaderzin) gräfin von', 'Bethusy-Huc, Valeska, Grafin von', 'Reichenbach, Moritz von']",1849,1926,15669
"Eichendorff, Joseph, Freiherr von","['Eichendorff, Joseph Karl Benedikt, Freiherr von', 'Eichendorff, Joseph von', 'Von Eichendorff, Joseph, Freiherr']",1788,1857,15670
"Davidson, John",[],1857,1909,15671
"Bégis, A. (Alfred)","['Begis, A. (Alfred)', 'Bégis, Alfred']",1829,1904,15672
"Seeley, H. G. (Harry Govier)","['Seeley, Harry Govier']",1839,1909,15673
"Geikie, James","['Geikie, J. (James)']",1839,1915,15674
"Eisler, Rudolf",[],1873,1926,15675
"Ventiris, Nikolaos","['Βεντήρης, Νικόλαος']",,,15676
"Tigri, Giuseppe",[],1806,1882,15677
"Risk Allah, Habeeb","['Allah, Habeeb Risk', 'Effendi, Habeeb Risk Allah']",,,15678
"Eminescu, Mihai","['Eminesco, Mihail', 'Eminescu, M. (Mihai)', 'Eminescu, Mihail']",1850,1889,15679
"Wiese, Carl",[],,,15680
"Huntington, Faye","['Aunt Penn', 'Foster, Theodosia Maria Toll', 'Penn, Aunt', 'Toll, Theodosia Maria']",1838,1923,15681
"Carleton, George Washington","['Carleton, G. W. (George Washington)', 'Carleton, George W.']",1832,1901,15682
"Whitney, Orson F. (Orson Ferguson)","['Whitney, O. F.']",1855,1931,15683
"Deslys, Charles","['Deslys, Charles Collinet']",1821,1885,15684
"Wallack, Lester","['Lester, John Wallack', 'Wallack, J. Lester (John Lester)', 'Wallack, John Johnstone', 'Wallack, John Lester']",1820,1888,15685
"Edwards, Pierrepont",[],,,15686
"Booth, R. A.",[],,,15687
"Benson, Simon",[],,,15688
"Thompson, W. L.",[],,,15689
"Nunn, Herbert",[],,,15690
"Das, Chitta Ranjan","['Chittaranjan Das', 'Das, C. R. (Chitta Ranjan)', 'Das, Chittaranjan']",1870,1925,15691
"Pickens, William",[],1881,1954,15692
"Schomburg, Arthur Alfonso",[],1874,1938,15693
"Farrell, Edward P.",[],,,15694
"McHugh, John A. (John Ambrose)","['McHugh, J. A. (John Ambrose)']",1880,1950,15695
"Kerr, Henry Wright","['Kerr, Henry W.']",1857,1936,15696
"Waugh, Joseph Laing",[],1868,1928,15697
"Trotter, Melvin E. (Melvin Earnest)","['Trotter Melvin Earnest', 'Trotter, Mel']",1870,1940,15698
"Roberts, B. H. (Brigham Henry)","['Roberts, Brigham Henry']",1857,1933,15699
"Sedgwick, Henry Dwight",[],1861,1957,15700
"Cruickshank, Alfred Hamilton","['Cruickshank, A. H.']",1862,1927,15701
"Randolph, Paschal Beverly","['Lee, Griffin', 'Randolph, P. B. (Paschal Beverly)', 'Randolph, Paschal Beverley', 'St. Leon, Count de']",1825,1874,15702
"Harris, William Cornwallis, Sir","['Harris, W. C. (William Cornwallis), Sir']",1807,1848,15703
"Gottschall, Rudolf von","['Von Gottschall, Rudolf']",1823,1909,15704
"Penfield, Edward",[],1866,1925,15705
"Ashe, E. D. (Edward David)","['Ashe, Edward David']",1813,1895,15706
"Skinner, Charlotte",[],,,15707
"Schubin, Ossip","['Kirschner, Aloisia', 'Kirschner, Lola', 'Kirschner, Lula', 'Schubin, Osip', 'Shubin, Osip']",1854,1934,15708
"Adams, Sarah Holland","['Adams, Sarah H.']",1824,1916,15709
"Paillottet, Prosper",[],,,15710
"Mack, Louise",[],1870,1935,15711
"Austin, Alfred",[],1835,1913,15712
"Harned, Thomas Biggs",[],1851,1921,15713
"Gilchrist, Anne (Anne Burrows)","['Gilchrist, Anne Burrows']",1828,1885,15714
"Lathrop, Elise","['Lathrop, Elise L.', 'Lathrop, Élise L.']",,,15715
"Stevens, Francis","['Bennett, Gertrude Barrows']",1883,1948,15716
"Elia, Augusto",[],1829,1919,15717
"Mitre, Bartolomé","['Mitre, Bartolome']",1821,1906,15718
"Hitchcock, Edward",[],1793,1864,15719
"Walker, Alexander",[],1779,1852,15720
"Werner, Alice","['Werner, A. (Alice)']",1859,1935,15721
"Broadwood, Lucy Etheldred","['Broadwood, L. E. (Lucy Etheldred)']",1858,1929,15722
"Myers, Charles S. (Charles Samuel)","['Myers, C. S. (Charles Samuel)']",1873,1946,15723
"Jekyll, Walter",[],,,15724
"Dawson, George Francis",[],,,15725
"Fairbanks, Charles Bullard",[],1827,1859,15726
"Joseph, Samuel",[],1881,,15727
"Moses, Belle",[],,,15728
"Stilson, Charles B. (Charles Billings)",[],1880,1932,15729
"Leech, Samuel V.","['Leech, S. V. (Samuel Vanderlip)', 'Leech, Samuel Vanderlip']",1837,1916,15730
"Trollope, Frances Eleanor","['Trollope, Frances Eleanor Ternan']",1835,1913,15731
"Alden, John B. (John Berry)","['Alden, John B.']",1847,1924,15732
"Hamilton, William, Sir",[],1730,1803,15733
"Cadell, T. (Thomas)","['Cadel, T. (Thomas)', 'Cadell, Thomas']",1742,1802,15734
"Macquoid, Percy",[],,1925,15735
"Dent, C. T. (Clinton Thomas)","['Dent, Clinton Thomas']",1850,1912,15736
"Whymper, Edward",[],1840,1911,15737
"Benn, Gottfried",[],1886,1956,15738
"Trent, Hilary",[],,,15739
"De La Vergne, George Harrison","['La Vergne, George Harrison de', 'Vergne, George Harrison de la']",1868,,15740
"Girvin, James W. (James Walter)",[],1844,1906,15741
"Dillingham, Emma Louise Smith","['Dillingham, Emma L.']",1844,1920,15742
"Armstrong, W. N.",[],,,15743
Canada. Department of the Interior,['Canada. Dept. of the Interior'],,,15744
"Cantacuzène, J. A.","['Cantacuzene, J. A.', 'Cantacuzène, J.-A.']",,,15745
"Pérez, Jean M.","['Perez, Jean M.', 'Pérez, Jean']",1833,1914,15746
"Grimké, Francis J. (Francis James)","['Grimke, Francis J. (Francis James)', 'Grimké, Francis James', 'Grimké, Frank J.']",1850,1937,15747
"Hope, John",[],1868,1936,15748
"Sieroszewski, Wacław","['Sieroszewski, Waclaw']",1858,1945,15749
"Brady, Loretta Ellen",[],,,15750
"Barry, Joseph",[],,1905,15751
"Ward, Leslie, Sir","['Spy (Sir Leslie Ward)', 'Ward, Lesley, Sir']",1851,1922,15752
"Pratt, Parley P. (Parley Parker)","['Pratt, P. P. (Parley Parker)', 'Pratt, Parley Parker']",1807,1857,15753
William Notman & Son,"['Notman & Son', 'William Notman and Son']",,,15754
"Gailly de Taurines, Ch.","['De Taurines, Ch. Gailly', 'Gailly de Taurines, Charles', 'Taurines, Ch. Gailly de', 'Taurines, Gailly de']",1857,1941,15755
"Moore, Frank",[],1828,1904,15756
"Fitzhugh, George",[],1806,1881,15757
"Jarvis, W. H. P. (William Henry Pope)","['Jarvis, William Henry Pope']",1876,1944,15758
"Agassiz, Alexander",[],1835,1910,15759
T.N. Hibben & Co.,"['Hibben & Co.', 'T.N. Hibben and Co.']",,,15760
"MacDonald, Daniel J.",[],1881,,15761
"Thomson, E. Gertrude (Emily Gertrude)","['Thomson, Emily Gertrude']",,,15762
"Morris, John","['Morris, Father', 'Morris, J. (John)', 'Morris, Joannis']",1826,1893,15763
"Nash, William H., Mrs.","['Nash, Mrs. William H.']",,,15764
"Harvey, Alexander Miller",[],1867,1928,15765
"Jorgenson, Chester E. (Chester Eugene)",[],1907,,15766
"Allen, Frank Waller",[],1878,,15767
"Stevens, H. P. (Henry Potter)","['Stevens, Henry P.', 'Stevens, Henry Potter']",1875,1965,15768
"Morgan, Sidney",[],,,15769
"Marchmont, Arthur W.","['Marchmont, Arthur Williams']",1852,1923,15770
"Kennedy, Sara Beaumont",[],,1921,15771
"Mason, William",[],1829,1908,15772
"Giberne, Edgar",[],,,15773
"Delaborde, Jules, comte","['Delaborde, J. (Jules), comte', 'Delaborde, Louis-Jules-Henri, comte']",1806,1889,15774
"MacDonald, Arthur",[],1856,1936,15775
"Herrick, Christine Terhune",[],1859,1944,15776
"Hardy, E. J. (Edward John)","['Hardy, Edward John']",1849,1920,15777
"Ruiz de Burton, María Amparo","['Arango, María del Amparo Ruiz', 'Burton, María Amparo Ruiz de', 'De Burton, María Amparo Ruiz', 'Loyal, C.', 'Ruiz Arango, María del Amparo', 'Ruiz de Burton, Amparo', 'Ruiz de Burton, Maria Amparo', 'Ruiz, María Amparo']",1832,1895,15778
"Washburn, L. K. (Lemuel Kelley)","['Washburn, Lemuel Kelley']",1846,1927,15779
"Heath, Thomas Little, Sir","['Heath, T. L. (Thomas Little), Sir', 'Heath, T. S. (Thomas S.), Sir']",1861,1940,15780
"Cummings, Lettie M.",[],,,15781
"Novice, active 19th century","['Grant, C. D.', 'Novice, A.']",,,15782
"Metelerkamp, Sanni",[],,,15783
"Penstone, Constance",[],,,15784
"Burgess, John William",[],1844,1931,15785
"Woolley, Edwin C. (Edwin Campbell)",[],1878,1916,15786
"Scanlan, Charles Martin","['Scanlan, Charles M.']",1854,1940,15787
"Briggs, W. A.",[],,,15788
"Fleeson, Katherine Neville",[],,,15789
"Lindsay, John S. (John Shanks)",[],1840,1906,15790
"Tiffany, John K. (John Kerr)","['Tiffany, John Kerr']",1843,1897,15791
"Bloy, Léon","['Bloy, Leon']",1846,1917,15792
"Bettauer, Hugo","['Betthauer, Maximilian Hugo']",1872,1925,15793
"Wagner-Schidrowitz, Martha von","['Von Wagner-Schidrowitz, Martha']",,,15794
"Veselitskii-Bozhidarovich, Sergiei","['Wesselitsky-Bojidarovitch, Sergei de']",1882,,15795
"Gul'bat, Abraam Abraamovich","['Goulbat, A.']",,,15796
"Meacham, Henry H.",[],1834,1879,15797
"Carnahan, James R. (James Richards)","['Carnahan, James Richards']",1840,1905,15798
"Cooper, Marie Jane",[],,,15799
"Pitcairn, W. D.",[],,,15800
"Huxley, Henrietta A.","['Heathorn, Henrietta Anne', 'Huxley, Nettie']",,1915,15801
"Thompson, Samuel",[],1810,1886,15802
"Lockwood, E. H.",[],,,15803
"Reynolds, Baillie, Mrs.","['Reynolds, Gertrude M.', 'Reynolds, Gertrude M. Robins', 'Reynolds, Mrs. Baillie', 'Robins, G. M. (Gertrude M.)', 'Robins, Gertrude M.']",,,15804
"Thomas, W. H. (William Henry)","['Thomas, Will', 'Thomas, Will H.', 'Thomas, William Henry']",1880,1935,15805
"Hughes, E.",[],,,15806
"Bellew, Molly K.",[],,,15807
"Yellott, George",[],1819,,15808
"Gounaris, K.","['Γούναρης, Κ.']",,,15809
"Ulrichs, Karl Heinrich","['Numantius, Numa', 'Ulrichs, Carl Heinrich']",1825,1895,15810
"Giesy, J. U. (John Ulrich)","['Giesy, John Ulrich']",1877,1947,15811
"Fleming, William F.",[],,,15812
"Spalding, William",[],1809,1859,15813
"Dunn, Jacob Piatt","['Dunn, J. P. (Jacob Piatt)']",1855,1924,15814
"Wrigley, Sarah A. Finley","['Wrigley, Sarah A.']",,,15815
"Engel, Alexander",[],1868,1940,15816
"Andreas-Salomé, Lou","['Andreas-Salome, Lou', 'Salomé, Lou', 'Salomé, Louise von', 'Von Salomé, Louise']",1861,1937,15817
"Schweigger, C.","['Schweigger, Carl Ernst Theodor', 'Schweigger, Karl Ernst Theodor']",1830,1905,15818
"Hartridge, Gustavus",[],1849,1923,15819
"Robinson, Emily J.",[],,,15820
"Greene, Herbert W. (Herbert Wilson)",[],1857,1933,15821
"Burke, Ulick Ralph",[],1845,1895,15822
"Doyle, C. W. (Charles William)","['Doyle, Charles William']",1852,1903,15823
"Caruthers, William Alexander","['Caruthers, William A. (Alexander)']",1802,1846,15824
"Reid, Elizabeth Hyde","['Reid, Elizabeth']",,,15825
"Colquhoun, Patrick","['Colquhoun, P. (Patrick)']",1745,1820,15826
"Austin, Caroline",['Mrs. Whitway'],,,15827
"Wallace, Edna Kingsley",[],,,15828
"Aurén, Petter Wilhelm","['Auren, Petter Wilhelm']",1826,1896,15829
"Delines, Michel","['Ashkinazi, Mikhail Osipovich', 'Delines, M. (Michel)']",1851,1914,15830
"Mackenzie, Alexander","['Mackenzie, Sir Alexander']",1764,1820,15831
"Landrum, John M. (John Morgan)",[],1815,1861,15832
"Rigby, N. (Nicholas)","['Rigby, Nicholas']",1800,1886,15833
"Chadsey, Charles E. (Charles Ernest)","['Chadsey, Charles Ernest']",1870,1930,15834
"Holley, George W. (George Washington)","['Holley, G. W. (George Washington)']",1810,1897,15835
"Giguere, George",[],,,15836
"Maxwell, Mary",[],,,15837
"Foster, Randolph S. (Randolph Sinks)","['Foster, Bishop (Randolph Sinks)', 'Foster, R. S. (Randolph Sinks)']",1820,1903,15838
"Olmsted, M. N. (Miles Newell)","['Olmsted, Miles Newell']",1811,1885,15839
"Peabody, Elizabeth Palmer","['Peabody, E. P. (Elizabeth Palmer)']",1804,1894,15840
"Manning, E. (Elizabeth) Adelaide","['Manning, E. A.']",1828,1905,15841
"Howard, Blanche Willis","['Teuffel, Blanche Willis (Howard) von']",1847,1898,15842
"Grierson, Francis","['Shepard, Benjamin Henry Jesse Francis']",1848,1927,15843
"Heuser, Herman J. (Herman Joseph)","['Heuser, H. J. (Herman Joseph)', 'Heuser, Herman Joseph']",1851,1933,15844
"Cameron, John, soccer player",[],,,15845
"Quiggin, A. Hingston (Alison Hingston)","['Quiggin, Alison Hingston']",1874,,15846
"Keane, A. H. (Augustus Henry)","['Keane, Augustus H. (Augustus Henry)']",1833,1912,15847
"Noyes, John Humphrey","['Noyes, J. H. (John Humphrey)']",1811,1886,15848
"Thurston, Edgar",[],1855,1935,15849
"Fletcher, D. H.",[],,,15850
"Fletcher, Samuel H.",[],,,15851
"De Fontaine, F. G. (Felix Gregory)","['De Fontaine, Felix Gregory', 'Fontaine, F. G. de (Felix Gregory)', 'Fontaine, Felix G. (Felix Gregory)']",1832,1896,15852
"Enelow, H. G. (Hyman Gerson)","['Enelow, Hyman Gerson']",1877,1934,15853
"Campbell, Edward Livingston",[],,,15854
"O'Keeffe, John","[""O'Keefe, John""]",1747,1833,15855
"Loughborough, Mary Ann Webster","['Loughborough, Mary Ann']",1836,1887,15856
"Lamberg, J.",[],,,15857
"Vogel, Nancy Casteel","['Vogel, Nancy']",,,15858
"Halifax, George Savile, Marquis of","['Halifax, Marquess of (George Savile)', 'Savile, George, Marquis of Halifax']",1633,1695,15859
"Davis, Frederick C.",[],,,15860
"Alderson, Matthew W.","['Alderson, Matt W.']",1855,1924,15861
"Karr, Alphonse","['Karr, Jean-Alphonse']",1808,1890,15862
"Colden, Cadwallader","['Colden, C. (Cadwallader)']",1688,1776,15863
Great Britain. Privy Council,['Privy Council (Great Britain)'],,,15864
New York (Colony). Council,['New York (Colony). Legislative Council'],,,15865
"Wilson, Christopher",[],1874,1919,15866
"Coffey, P. (Peter)","['Coffey, Peter']",1876,1943,15867
"Pont-Jest, René de","['De Pont-Jest, René', 'Delmas, Leon Rene', 'Delmas, Léon René', 'Pont-Jest, Rene de']",1830,1904,15868
"Caunter, John Alan Lyde",[],1889,,15869
"Bucke, Richard Maurice","['Bucke, R. M. (Richard Maurice)']",1837,1902,15870
"Whitlock, Brand",[],1869,1934,15871
"Seymour, Ralph Fletcher",[],1876,1966,15872
"Sharp, Annabel",[],,,15873
"Miller, Barnette",[],,,15874
"Prestage, Edgar",[],1869,1951,15875
"Zurara, Gomes Eannes de","['Azurara, Gomes Eannes de', 'De Zurara, Gomes Eanes', 'Eanes de Zurara, Gomes', 'Eannes de Azurara, Gomes']",1409,1473,15876
"Johnson, P. D.",[],,,15877
"Roldanus, Willem Jacob Aarland","['Roldanus, W. J. A.']",1877,,15878
"Williams, T.",[],,,15879
"Hankel, Marie",[],1844,1929,15880
"Stimson, Dorothy",[],1890,1988,15881
"Kroeber, A. L. (Alfred Louis)","['Kroeber, Alfred Louis']",1876,1960,15882
"Bunney, Joseph",[],,,15883
"Dunlop, John Colin",[],1785,1842,15884
"Blacker, W. (William)","['Blacker, William']",,,15885
"Sabin, Arthur K. (Arthur Knowles)","['Sabin, Arthur Knowles']",1879,1959,15886
"Hardie, Martin",[],1875,1952,15887
"Kahlenberg, Hans von","['Kessler, Helene', 'Montbart, Eva H. von', 'Von Kahlenberg, Hans']",1870,1957,15888
"Ringrose, Hyacinthe",[],1872,1946,15889
"Cone, John A. (John Albert)",[],1860,1928,15890
"Slafter, Edmund F. (Edmund Farwell)","['Slafter, Edmund Farwell']",1816,1906,15891
"Kirkland, Joseph","['Kirkland, Major Joseph']",1830,1894,15892
"Glenwood, Ida","['Gorton, Cynthia M. R.', 'Gorton, Cynthia M. Roberts', 'Gorton, Mrs. C. M. R.']",1829,1894,15893
"Enault, Louis","['Énault, Louis']",1824,1900,15894
"Wetterhoff, Onni",[],,,15895
"Wilber, Elaine",[],,,15896
"Damer, Eyre",[],1854,,15897
"Hardwick, J. C. (John Charlton)","['Hardwick, John Charlton']",1885,,15898
"Guild, C. S. (Caroline Snowden)","['Guild, Caroline Snowden', 'Holyoke, Betty', 'Holyoke, Hetty', 'Whitmarsh, Caroline S. (Caroline Snowden)']",1827,1898,15899
"Pratt, Ambrose",[],1874,1944,15900
"Warren, George Washington","['Warren, G. Washington (George Washington)']",1813,1883,15901
"Hamilton, John A. (John Arthur)","['Hamilton, John Arthur']",1845,,15902
"Blewett, Jean",[],1862,1934,15903
"Palmer, Herbert E. (Herbert Edward)","['Palmer, Herbert Edward']",1880,1961,15904
"Wight, J. (John)","['Wight, John']",,,15905
"Kountouriotes, Nikolaos","['Kountouriotis, Nikos', 'Κουντουριώτης, Νίκος']",,,15906
"Suematsu, Kencho","['Suematsu, Seihyo', 'Suyematsu, Kencho', '末松謙済', '末松謙澄']",1855,1920,15907
"Walther, von der Vogelweide, active 12th century","['Vogelweide, Walther von der', 'Walter, von der Vogelweide']",,,15908
"Crawford, Jack Randall","['Crawford, J. R. (Jack Randall)']",1878,,15909
"Stern, Menco",[],,,15910
"Toci, Ettore",[],,,15911
"Peano, Giuseppe","['Peano, G. (Giuseppe)']",1858,1932,15912
"Hoffmann von Fallersleben, August Heinrich","['Fallersleben, August Heinrich Hoffmann von', 'Fallersleben, Hoffmann von', 'Von Fallersleben, August Heinrich Hoffmann']",1798,1874,15913
"Hunter, William Wilson","['Hunter, W. W. (William Wilson)']",1840,1900,15914
"Bevan, Frances","['Bevan, Emma Frances', 'Bevan, Frances A.', 'Shuttleworth, Emma Frances']",1827,1909,15915
"Mechthild, of Magdeburg","['Magdeburg, Mechthild of', 'Matilda, of Magdeburg', 'Mechthild, von Magdeburg', 'Mechtild, of Magdeburg', 'Mechtild, von Magdeburg', 'Mechtilde, de Magdebourg']",,,15916
"Hutchinson, W. Hely",[],,,15917
"Cox, George",[],1838,1909,15918
"Edwards, H. T.",[],,,15919
"Valldaura, Agna de","['Valldaura, Anna de']",1854,1930,15920
"Dorrance, E. S. (Ethel Smith)","['Dorrance, Ethel Arnold Smith, Mrs.']",1880,,15921
"Dorrance, James French",[],1879,,15922
"Curtis, Dora","['Curtis, D. (Dora)']",,,15923
"Radford, Dollie","['Radford, D. (Dollie)']",,,15924
"Pratt, J. G.",[],,,15925
"Knox, J. Armoy (John Armoy)","['Knox, John Armoy']",1851,1906,15926
"McCulley, Johnston",[],1883,1958,15927
"Wittmack, E. Franklin (Edgar Franklin)","['Wittmack, Edgar Franklin']",1894,1956,15928
"Campbell, Duncan",[],1818,1886,15929
"Sargant, J. A. (Jane Alice)","['Sargant, Jane Alice']",,,15930
"Minckley, W. L.","['Minckley, Wendell Lee']",1935,2001,15931
"Cross, Frank B. (Frank Bernard)","['Cross, Frank Bernard']",1925,2001,15932
"Fraser, Alexander",[],1860,1936,15933
"Leitz, Ernst",[],1843,1920,15934
"Delffs, Sofie",[],,,15935
"Lewes, Charles Lee",[],1843,1891,15936
"James, Grace",[],,,15937
"Tuttle, Hudson",[],1836,1910,15938
"Sainsbury, Noel","['Sainsbury, Noel Everingham']",1884,,15939
"Bailey, James H. (James Henry)",[],1919,,15940
"Edmunds, Pocahontas Wight",[],,,15941
"Downey, Edmund","['Allen, F. M.']",1856,1937,15942
"Titus, Harold",[],1888,1967,15943
"Amado, Ismael A.","['Amado, Ismael Alberto']",,,15944
"Järvinen, Albin","['Jarvinen, Albin', 'Turvamaki, Ernesti', 'Turvamäki, Ernesti']",1867,1937,15945
"Grant Suttie, George, Sir","['Grant-Suttie, George', 'Suttie, George Grant']",1797,1878,15946
"Davey, Richard","['Davey, R. (Richard)', 'Davey, Richard Patrick Boyle']",1848,,15947
"Kuttner, Alfred B. (Alfred Booth)","['Kuttner, Alfred Booth']",1886,,15948
"Strachey, James",[],,,15949
"Knappert, Laurentius",[],1863,1943,15950
"Dodge, David Low",[],1774,1852,15951
"Mead, Edwin D. (Edwin Doak)","['Mead, Edwin Doak']",1849,1937,15952
"Hunter Blair, David Oswald, Sir","['Blair, David Oswald Hunter, Sir', 'Hunter-Blair, David']",1853,1939,15953
"Koopmans van Boekeren, H. E.","['Boekeren, H. E. Koopmans van', 'Boekeren, Henri Emile Koopmans van']",,,15954
"Gnudtzmann, Albert Theodor",[],1865,1912,15955
"Schendel, Arthur van","['Schendel, A. van (Arthur van)', 'Van Schendel, Arthur']",1874,1946,15956
"Chapone, Mrs. (Hester)","['Chapone, Hester', 'Chapone, Hester Mulso']",1727,1801,15957
"Robbins, Alfred Farthing","['Robbins, Alfred F.']",1856,1931,15958
"Kopetzky, O. (Olga)","['Kopetzky, Olga']",,,15959
"Ferguson, Robert",[],,1898,15960
"Rodd, Rennell","['Rennell, James Rennell Rodd, Baron', 'Rodd, James Rennell']",1858,1941,15961
"Chase, Allan",[],1913,1993,15962
