name,alias(es),birthdate,deathdate,id
Library of Congress. Copyright Office,"['Library of Congress. Register of Copyrights', 'Office, U.S. Copyright', 'United States. Copyright Office']",,,150
Coalition for Networked Information,['CNI'],,,151
"Scavezze, Dan",[],,,152
"Chaucer, Geoffrey","['Chaucer, Jeffrey']",1342,1400,153
"Clarke, Marcus Andrew Hislop",[],1846,1881,154
"Gordon, Adam Lindsay",[],1833,1870,155
"Corson, Hiram",[],1828,1911,156
"Browning, Robert",[],1812,1889,157
"Lowell, Amy",[],1874,1925,158
"Brooke, Rupert",[],1887,1915,159
"Woodberry, George Edward",[],1855,1930,160
"Lavington, Margaret",[],,,161
"Kilmer, Joyce","['Kilmer, Alfred Joyce']",1886,1918,162
Jón Stefánsson,"['Jon Stefansson', 'Stefánsson, Jón']",1862,,163
"Collingwood, W. G. (William Gershom)","['Collingwood, William Gershom']",1854,1932,164
"Macaulay, G. C. (George Campbell)","['Macaulay, George Campbell']",1852,1915,165
"Gower, John",[],,1408,166
Saki,"['Munro, H. H. (Hector Hugh)', 'Munro, Hector Hugh']",1870,1916,167
"Grahame, Kenneth",[],1859,1932,168
"Sewell, Anna","['Sewell, Ana']",1820,1878,169
"Luther, Martin",[],1483,1546,170
"Mann, Gary",[],,,171
"Bente, F. (Friedrich)","['Bente, Friedrich']",1858,1930,172
"Dau, W. H. T. (William Herman Theodore)","['Dau, William Herman Theodore']",1864,1944,173
"Melanchthon, Philipp","['Faventinus, Didymus', 'Schwarzerd, Philipp']",1497,1560,174
"Haydn, Joseph","['Haydn, Franz Josef', 'Haydn, Franz Joseph']",1732,1809,175
National Atomic Museum (U.S.),[],,,176
White Sands Missile Range (N.M.). Public Affairs Office,"['Office, White Sands Missile Range Public Affairs']",,,177
"Kinglake, Alexander William","['Kinglake, A. W. (Alexander William)']",1809,1891,178
"Hyne, Charles John Cutcliffe Wright","['Cutcliffe-Hyne, C. J.', 'Cutcliffe-Hyne, Charles John', 'Hyne, C. J. Cutcliffe (Charles John Cutcliffe)', 'Hyne, Cutcliffe']",1866,1944,179
"Barr, Amelia E.","['Barr, Amelia Edith Huddleston']",1831,1919,180
"Cabell, James Branch","['Cabell, Branch']",1879,1958,181
"Taylor, Bayard","['Taylor, J. B.', 'Taylor, J.B.', 'Taylor, James Bayard']",1825,1878,182
"Alger, Horatio, Jr.","['Alger, Horatio', 'Preston, Charles F.', 'Putnam, Arthur Lee', 'Starr, Julian']",1832,1899,183
"Tarkington, Booth","['Tarkington, B. (Booth)', 'Tarkington, Newton Booth', 'Van Loot, Cornelius Obenchain']",1869,1946,184
"Boyesen, Hjalmar Hjorth","['Boyesen, Hjalmar H.']",1848,1895,185
"Husted, Michael",[],,,186
"Gaboriau, Emile","['Gaboriau, Émile']",1832,1873,187
"Jerome, Jerome K. (Jerome Klapka)","['Jerome, Jerome Klapka']",1859,1927,188
"Benét, Stephen Vincent","['Benet, Stephen Vincent']",1898,1943,189
"Robinson, Edwin Arlington","['Robinson, E. A. (Edwin Arlington)', 'Robinson, Edward A.']",1869,1935,190
"Dobie, J. Frank (James Frank)","['Dobie, Frank', 'Dobie, James Frank']",1888,1964,191
"Drake, Joseph Rodman",[],1795,1820,192
"Gregory, Eliot",[],1854,1915,193
"Fox, John","['Fox, John William']",1863,1919,194
"Muir, John",[],1838,1914,195
"Badè, William Frederic","['Bade, William Frederic']",1871,1936,196
"Davis, Richard Harding",[],1864,1916,197
"Guest, Edgar A. (Edgar Albert)","['Guest, Eddie', 'Guest, Edgar Albert']",1881,1959,198
"Rinehart, Mary Roberts",[],1876,1958,199
"Page, Thomas Nelson",[],1853,1922,200
"Raleigh, Walter Alexander, Sir","['Raleigh, Sir Walter Alexander']",1861,1922,201
"Davis, Rebecca Harding","['Davis, R. H. (Rebecca Harding)']",1831,1910,202
"Eastman, Charles Alexander","['Eastman, Charles A.', 'Ohiyesa', 'Okhidzheza']",1858,1939,203
Zitkala-Sa,"['Bonnin, Gertrude', 'Simmons, Gertrude']",1876,1938,204
"McLaughlin, Marie L.",[],1842,,205
"Stoker, Bram","['Stoker, Abraham']",1847,1912,206
"Evelyn-White, Hugh G. (Hugh Gerard)","['Evelyn-White, Hugh Gerard']",1884,1924,207
Hesiod,[],,,208
"Ferber, Edna",[],1885,1968,209
"Macphail, Andrew","['Macphail, Andrew, Sir']",1864,1938,210
"McCrae, John",[],1872,1918,211
"Jordan, Elizabeth Garver",[],1867,1947,212
"Shaw, Anna Howard",[],1847,1919,213
"Olcott, Frances Jenkins",[],1872,1963,214
"Proudhon, P.-J. (Pierre-Joseph)","['Proudhon, Pierre Joseph']",1809,1865,215
"Porter, Eleanor H. (Eleanor Hodgman)","['Porter, Eleanor Hodgman']",1868,1920,216
"Austin, Mary Hunter",[],1868,1934,217
"Jewett, Sarah Orne",[],1849,1909,218
"Conwell, Russell H.","['Conwell, Russell Herman']",1843,1925,219
"Shackleton, Robert",[],1860,1923,220
"Defoe, Daniel","['Defo, Daniel', 'John, Gabriel', 'Moreton, Andrew']",,1731,221
"Wheatley, Henry B. (Henry Benjamin)","['Wheatley, H. B. (Henry Benjamin)']",1838,1917,222
"Stevenson, Fanny Van de Grift","['Osbourne, Fanny Van de Grift', 'Stevenson, Frances Matilda Van de Grift', 'Vandergrift, Fanny']",1840,1914,223
"Bierce, Ambrose","['Grile, Dod']",1842,1913,224
"Barker, Nettie Garmer",[],,,225
"Rudder, Robert S.",[],,,226
"Galba, Martí Joan de","['Galba, Marti Joan de', 'Galla, Martín Juan de', 'Gralla, Martin Juan de', 'Gralla, Martín Juan de']",,1490,227
"Martorell, Joanot","['Martorell, Joannot', 'Martorell, Juan', 'Martorell, Pedro Juan']",,1468,228
"Goldsmith, Oliver","['Goldsmit, Oliver']",,1774,229
"Grey, Zane","['Gray, Pearl Zane', 'Gray, Zane']",1872,1939,230
"Churchill, Winston",[],1871,1947,231
"Machen, Arthur",[],1863,1947,232
"Cranmer-Byng, L. (Launcelot)","['Cranmer-Byng, Launcelot Alfred']",1872,1945,233
"Scott-Moncrieff, C. K. (Charles Kenneth)","['Scott-Moncrieff, Charles Kenneth']",1889,1930,234
"Tasso, Torquato","['Dasso, Dorkuato', 'Taso, Torquato', 'Tasso, Torcuato', 'Tasso, Torkvato', 'Tasso, Torquata']",1544,1595,235
"Fairfax, Edward","['Fairefax, Edward']",,1635,236
"Stacpoole, H. De Vere (Henry De Vere)","['Stacpoole, Henry De Vere']",1863,1951,237
"Gaskell, Elizabeth Cleghorn","['Gaskell, E. C. (Elizabeth Cleghorn)', 'Gaskell, Elizabeth Cleghorn Stevenson', 'Gaskell, Mrs.', 'Mills, Cotton Mather', 'Stevenson, Elizabeth']",1810,1865,238
"Brock, C. E. (Charles Edmund)","['Brock, Charles E. (Charles Edmund)', 'Brock, Charles Edmund']",1870,1938,239
"Stockton, Frank Richard","['Stockton, Francis Richard', 'Stockton, Frank R. (Frank Richard)']",1834,1902,240
"Platt, Rutherford Hayes","['Platt, Rutherford']",1894,1975,241
"Teasdale, Sara","['Filsinger, Sara', 'Teasdale, S. (Sara)']",1884,1933,242
"Smiles, Samuel",[],1812,1904,243
"Davis, Charles Belmont",[],1866,1926,244
"Du Bois, W. E. B. (William Edward Burghardt)","['Bois, W. E. B. Du', 'DuBois, W. E. B. (William Edward Burghardt)', 'DuBois, W. E. Burghardt']",1868,1963,245
"Wheatley, Phillis","['Peters, Phillis', 'Peters, Phillis Wheatley', 'Wheatley, Phyllis']",1753,1784,246
"Hubbard, Elbert","['Ali Baba', 'Elbertus, Fra']",1856,1915,247
"Jefferies, Richard","['Jefferies, John Richard']",1848,1887,248
"Borrow, George","['Borrow, George Henry']",1803,1881,249
"Anderson, Sherwood","['Fever, Buck']",1876,1941,250
"Allen, Nathan H. (Nathan Hale)","['Allen, N. H. (Nathan Hale)']",1848,1925,251
"Bacon, Leonard Woolsey","['Bacon, L. W. (Leonard Woolsey)']",1830,1907,252
"Reu, Johann Michael","['Reu, J. Michael (Johann Michael)', 'Reu, Michael']",1869,1943,253
"Lindsay, Vachel","['Lindsay, Nicholas Vachel']",1879,1931,254
"Phillips, David Graham","['Graham, John']",1867,1911,255
"Wenzell, A. B. (Albert Beck)","['Wenzel, A. B. (Albert Beck)', 'Wenzell, Albert B. (Albert Beck)']",1864,1917,256
"Houdini, Harry","['Deadota, Giovanni', 'Weiss, Ehrich', 'Weisz, Erik']",1874,1926,257
"Luna, Juan de","['De Luna, Juan']",,,258
"Osbourne, Lloyd","['Osborne, Lloyd', 'Osbourne, Samuel Lloyd']",1868,1947,259
"Field, Eugene",[],1850,1895,260
"Le Bon, Gustave","['Bon, Gustave Le']",1841,1931,261
"Irving, H. B. (Henry Brodribb)","['Irving, Henry Brodribb']",1870,1919,262
"Healy, William",[],1869,1963,263
"Healy, Mary Tenney",[],,,264
"Sullivan, Edmund J. (Edmund Joseph)","['Sullivan, E. J. (Edmund Joseph)']",1869,1933,265
"Birrell, Augustine",[],1850,1933,266
"Leland, Charles Godfrey","['Breitman, Hans', 'Breitmann, Hans', 'Leland, Charles G.']",1824,1903,267
"Parlette, Ralph Albert",[],1870,1930,268
"Marquis, Don","['Marquis, D. R. (Donald Robert)', 'Marquis, Donald Robert Perry']",1878,1937,269
"Yohn, F. C. (Frederick Coffay)","['Yohn, Frederick Coffay']",1875,1933,270
"Le Gallienne, Richard","['Gallienne, Richard Le', 'LeGallienne, Richard']",1866,1947,271
"White, Stewart Edward",[],1873,1946,272
"Steinmetz, Andrew",[],1816,1877,273
"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)","['De La Fayette, Madame (Marie-Madeleine Pioche de La Vergne)', 'Fayette, Madame de La (Marie-Madeleine Pioche de La Vergne)', 'Fayette, Marie-Madeleine Pioche de La Vergne, comtesse de La', 'Fayette, Marie-Madeleine de la', 'LaFayette, Madame de (Marie-Madeleine Pioche de La Vergne)']",1634,1693,274
"Prévost, abbé","['Prevost, Antoine Francois', 'Prevost, abbe', ""Prévost, Antoine François, called Prévost d'Exiles""]",1697,1763,275
"Balzac, Honoré de","['Balzac, H. de (Honoré de)', 'Balzac, Honore de', 'De Balzac, Honoré', 'Saint-Aubin, Horace de']",1799,1850,276
"Marriage, Ellen",[],,,277
"Chesnutt, Charles W. (Charles Waddell)",[],1858,1932,278
"Bryant, Sara Cone","['Borst, Sara Cone Bryant']",1873,,279
"Booth, William",[],1829,1912,280
"Nasmyth, James","['Naesmyth, James', 'Nasmith, James', 'Nasmyth, James Hall', 'Nesmyth, James']",1808,1890,281
"Ferri, Enrico",[],1856,1929,282
"Hutsko, Joe",[],1963,,283
"Michelson, Miriam",[],1870,1942,284
"Optic, Oliver","['Adams, William T. (William Taylor)', 'Adams, William Taylor']",1822,1897,285
"Colvin, Sidney",[],1845,1927,286
"MacClure, Victor",[],1887,1963,287
Calamity Jane,"['Burk, Martha Cannary', 'Canary, Martha', 'Cannary, Martha Jane']",1852,1903,288
"Atherton, Gertrude Franklin Horn","['Horn, Gertrude Franklin', 'Lin, Frank']",1857,1948,289
"Craik, Dinah Maria Mulock","['Mulock, Dinah Maria', 'Mulock, Miss']",1826,1887,290
"Coke, Henry J. (Henry John)","['Coke, Henry John']",1827,1916,291
"Wiggin, Kate Douglas Smith","['Riggs, George Christopher, Mrs.', 'Riggs, Kate Douglas Smith Wiggin', 'Smith, Kate Douglas', 'Wiggin, Samuel Bradley, Mrs.']",1856,1923,292
"Appleton, Victor",[],,,293
"Collodi, Carlo","['Collodi, C. (Carlo)', 'Lorenzini, Carlo']",1826,1890,294
"Della Chiesa, Carol","['Chiesa, Carol Della', 'Della Chiesa, Carolyn M.']",1887,,295
"Lofting, Hugh",[],1886,1947,296
"Walpole, Hugh","['Walpole, Sir Hugh']",1884,1941,297
"Sousa, John Philip","['Sousa, J. P. (John Philip)']",1854,1932,298
"White, Andrew Dickson",[],1832,1918,299
"Le Fanu, Joseph Sheridan","['Fanu, J. Sheridan Le', 'Fanu, Joseph Sheridan Le', 'LeFanu, J. S. (Joseph Sheridan)']",1814,1873,300
"Strong, J. D. (Joseph Dwight)","['Strong, Joseph D. (Joseph Dwight)', 'Strong, Joseph Dwight']",1853,1899,301
"Headland, Isaac Taylor",[],1859,1942,302
"Steedman, Amy",[],,,303
"Crane, Walter",[],1845,1915,304
"Bower, B. M.","['Sinclair, B. M. (Bertha Muzzy)', 'Sinclair, Bertha Muzzy']",1874,1940,305
"Tuckwell, William",[],1829,1919,306
"Johnson, Clarence Edgar",[],1906,1994,307
"Lewis, Sinclair","['Lewis, Harry Sinclair']",1885,1951,308
"Stout, Rex",[],1886,1975,309
"Maag, Carl R.",[],,,310
"Rohrer, Steve",[],,,311
"Munguía, E. (Enrique)","['Munguia, E. (Enrique)', 'Munguía, Enrique']",1903,,312
"Azuela, Mariano","['Asuela, Mariano', 'Gonzalez, Mariano Azuela', 'González, Mariano Azuela']",1873,1952,313
"Tyler, Royall","['Tyler, William Clark']",1757,1826,314
"McKee, Thomas Jefferson",[],1840,1899,315
"Buchan, John","['Tweedsmuir, John Buchan, Baron']",1875,1940,316
"Kay, Ross",[],,,317
"Kennon, J. L.",[],,,318
"Morrison, A. J. W. (Alexander James William)","['Morrison, Alexander James William']",1806,1865,319
"Schiller, Friedrich","['Schiller, Friedrich von', 'Schiller, Johann Christoph Friedrich von']",1759,1805,320
"Brann, William Cowper",[],1855,1898,321
"Fries, Adelaide L. (Adelaide Lisetta)","['Fries, Adelaide Lisetta']",1871,1949,322
"Potter, Beatrix","['Heelis, Beatrix', 'Potter, Helen Beatrix']",1866,1943,323
"Lamb, Mary","['Lamb, Mary Ann']",1764,1847,324
"Lamb, Charles",[],1775,1834,325
"Blake, William","['Blake, W. (William)']",1757,1827,326
"Bacon, Francis","['St. Albans, Francis Bacon, Viscount', 'Verulam, Francis Bacon']",1561,1626,327
"Johnson, Samuel",[],1709,1784,328
"Nakashima, Tadashi",['中島正'],1920,,329
"Lanier, Sidney",[],1842,1881,330
"Jenkins, Edward","['Jenkins, John Edward']",1838,1910,331
"Wilson, Harriet E.","['Wilson, H. E. (Harriet E.)', 'Wilson, Hattie E.']",1825,1900,332
"Craft, William",[],,,333
"Craft, Ellen",[],,,334
"Browne, Thomas, Sir",[],1605,1682,335
"Japp, Alexander H. (Alexander Hay)","['Japp, Alexander Hay']",1839,1905,336
"Maupassant, Guy de","['De Maupassant, Guy']",1850,1893,337
"Arnot, Robert",[],1860,,338
"Bourget, Paul","['Bourget, Charles Joseph Paul', 'Bourget, Paul Charles Joseph']",1852,1935,339
"Miller, Francis Trevelyan","['Miller, Francis T.']",1877,1959,340
"Coolidge, Susan","['Woolsey, Sarah Chauncey']",1835,1905,341
"Sidney, Margaret","['Sydney, Margaret']",1844,1924,342
"Powelson, Amy Therese, Mrs.",[],,,343
"Aldrich, Thomas Bailey","['Aldrich, T. B. (Thomas Bailey)']",1836,1907,344
Snorri Sturluson,"['Sturlason, Snorre', 'Sturleson, Snorro', 'Sturluson, Snorri']",,1241,345
"Thackeray, William Makepeace","['Thackeray, W. M.', 'Titmarsh, M. A.', 'Titmarsh, Michael Angelo']",1811,1863,346
"Dostoyevsky, Fyodor","['Dostoevsky, Fyodor', 'Dostoievski, Fedor Mikhailovitch', 'Dostoievski, Fiodor', 'Dostoievski, Fédor Mikhailovitch', 'Dostoyevsky, F. M.', 'Достоевский, Фёдор Михайлович']",1821,1881,347
"Lewis, M. G. (Matthew Gregory)","['Lewis, Matthew Gregory', 'Lewis, Monk']",1775,1818,348
Lucan,"['Lucanus, Marcus Annaeus']",39,65,349
"Darlow, T. H. (Thomas Herbert)","['Darlow, Thomas Herbert']",1858,1927,350
"Arnold, Edwin Lester Linden","['Arnold, Edwin L.']",1857,1935,351
"Linderman, Frank Bird",['Co-skee-see-co-cot'],1869,1938,352
"Wu, Tingfang",['伍廷芳'],1842,1922,353
"Tennyson, Alfred Tennyson, Baron","['Tennyson, Alfred Lord']",1809,1892,354
Japan,[],,,355
"Ariosto, Lodovico","['Ariost, Lodovico', 'Ariosto, Ludovico']",1474,1533,356
"Rose, William Stewart",[],1775,1843,357
"Seeger, Alan",[],1888,1916,358
"Trollope, Anthony",[],1815,1882,359
"James, William",[],1842,1910,360
"Swift, Jonathan","['Swift, J. (Jonathan)']",1667,1745,361
"Morley, Henry",[],1822,1894,362
"Bellamy, Edward",[],1850,1898,363
"Thomas, Ernest Chester","['Thomas, E. C. (Ernest Chester)']",1850,1892,364
"Bury, Richard de","['Aungerville, Richard']",1287,1345,365
"Plouffe, Simon",[],1956,,366
"Mackay, Charles","['Mackay, Chas. (Charles)']",1814,1889,367
"Gamble, Eliza Burt",[],,,368
