233,Space ships -- Fiction
234,Manned space flight -- Fiction
235,Moon -- Fiction
236,Space flight to the moon -- Fiction
237,Frankenstein's monster (Fictitious character) -- Fiction
238,Scientists -- Fiction
239,"Frankenstein, Victor (Fictitious character) -- Fiction"
240,Monsters -- Fiction
241,Gothic fiction (Literary genre)
242,Jungle animals -- Fiction
243,Arthurian romances -- Adaptations
244,Britons -- Fiction
245,Kings and rulers -- Fiction
246,Americans -- Great Britain -- Fiction
247,Satire
248,Cost and standard of living
249,Americans -- Foreign countries -- Fiction
250,Balloon ascensions -- Fiction
251,Mystery fiction
252,Married people -- Fiction
253,Boston (Mass.) -- Fiction
254,Civil engineers -- Fiction
255,Bridges -- Design and construction -- Fiction
256,Mistresses -- Fiction
257,Impostors and imposture -- Fiction
258,British -- Foreign countries -- Fiction
259,Fourth dimension
260,London (England) -- History -- 18th century -- Fiction
261,Executions and executioners -- Fiction
262,British -- France -- Paris -- Fiction
263,Paris (France) -- History -- 1789-1799 -- Fiction
264,French -- England -- London -- Fiction
265,Lookalikes -- Fiction
266,"Reconstruction (U.S. history, 1865-1877)"
267,Essays
268,African American abolitionists
269,Slavery
270,"English drama -- Early modern and Elizabethan, 1500-1600"
271,Computer crimes -- United States
272,Telephone -- Corrupt practices -- United States
273,Computer programming -- Corrupt practices -- United States
274,Trials (Murder) -- Fiction
275,Passing (Identity) -- Fiction
276,Legal stories
277,Infants switched at birth -- Fiction
278,Voyages around the world -- Fiction
279,"New Deal, 1933-1939"
280,United States -- Politics and government -- 1933-1945
281,England -- Social life and customs -- 19th century -- Fiction
282,Motherless families -- Fiction
283,Regency fiction
284,Rejection (Psychology) -- Fiction
285,Dysfunctional families -- Fiction
286,First loves -- Fiction
287,Jungles -- Fiction
288,Apes -- Fiction
289,"Detective and mystery stories, English"
290,"Holmes, Sherlock (Fictitious character) -- Fiction"
291,American poetry
292,Man-woman relationships -- Fiction
293,Women household employees -- Fiction
294,Children of the rich -- Fiction
295,Women murderers -- Fiction
296,Rape victims -- Fiction
297,People with disabilities -- Fiction
298,Indiana -- Fiction
299,Swamps -- Fiction
300,Fathers and daughters -- Fiction
301,Violists -- Fiction
302,Short stories
303,Yorkshire (England) -- Fiction
304,Gardens -- Fiction
305,United States -- Statistics
306,Music
307,Europe -- Fiction
308,Walking -- Fiction
309,Americans -- Europe -- Fiction
310,Treasure Island (Imaginary place) -- Fiction
311,Treasure troves -- Fiction
312,Horror tales -- Appreciation -- Fiction
313,Gentry -- England -- Fiction
314,England -- Fiction
315,Marriage -- Economic aspects -- Fiction
316,Books and reading -- Fiction
317,People with visual disabilities -- Fiction
318,Heathlands -- Fiction
319,Mate selection -- Fiction
320,Mothers and sons -- Fiction
321,Earth (Planet) -- Core -- Fiction
322,Bible. Apocrypha
323,Apocryphal books (Old Testament)
324,Moths -- Fiction
325,Mothers and daughters -- Fiction
326,Conflict of generations -- Fiction
327,"Challenger, Professor (Fictitious character) -- Fiction"
328,Tales -- Arab countries
329,Fairy tales -- Arab countries
330,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
331,Apologetics
332,"Christianity -- Essence, genius, nature"
333,Christian fiction
334,Christian pilgrims and pilgrimages -- Fiction
335,Military art and science -- Early works to 1800
336,War -- Early works to 1800
337,New York (State) -- Fiction
338,Belief and doubt -- Fiction
339,Methodists -- Fiction
340,Feminist fiction
341,Autobiographical fiction
342,Ex-convicts -- Fiction
343,Epic literature
344,Paris (France) -- Fiction
345,"Children's poetry, English"
346,Boarding schools -- Fiction
347,Schools -- Fiction
348,"Sand, George, 1804-1876"
349,"Women novelists, French -- 19th century -- Biography"
350,Prehistoric peoples -- Fiction
351,Dinosaurs -- Fiction
352,South America -- Fiction
353,Political fiction
354,Meat industry and trade -- Fiction
355,Working class -- Fiction
356,Lithuanian Americans -- Fiction
357,Stockyards -- Fiction
358,Immigrants -- Fiction
359,Cousins -- Fiction
360,Uncles -- Fiction
361,Country homes -- Fiction
362,Adoptees -- Fiction
363,United States -- Social life and customs -- Fiction
364,"Humorous stories, American"
365,Runaway husbands -- Fiction
366,Men -- England -- Fiction
367,Mayors -- Fiction
368,Atonement -- Fiction
369,British -- South America -- Fiction
370,Women travelers -- Fiction
371,Ocean travel -- Fiction
372,City and town life -- Fiction
373,Monarchy -- Early works to 1800
